"V1","V2","V3"
"A-K","Blue Magoo","0"
"A-K","Blue Widow","0"
"A-K","Blueberry Kush","0.125"
"A-K","Blueberry Line","0.125"
"A-K","Blueberry OG","0"
"A-K","Bruce Banner","0.03125"
"A-K","Bubba Kush","0"
"A-K","Bubba OG","0"
"A-K","California Sour","0"
"A-K","Candy Kush","0"
"A-K","Candyland","0"
"A-K","Cannadential","0.125"
"A-K","Cannalope Haze","0"
"A-K","Cannatonic","0"
"A-K","Casey Jones","0"
"A-K","Cataract Kush","0.125"
"A-K","Charles Kush","0"
"A-K","Cheese Quake","0"
"A-K","Chem Valley Kush","0"
"A-K","Chemdog Sour Diesel","0"
"A-K","Chemmy Jones","0"
"A-K","Chernobyl","0"
"A-K","Cherry Pie","0"
"A-K","Chocolope","0"
"A-K","Cinderella 88","0"
"A-K","Cinderella 99","0"
"A-K","Cinex","0"
"A-K","Colombian Gold","0"
"A-K","Cookies and Cream","0.015625"
"A-K","Corleone Kush","0"
"A-K","Cotton Candy","0"
"A-K","Critical Kush","0"
"A-K","Critical Mass","0"
"A-K","DNL","0"
"A-K","Dairy Queen","0"
"A-K","DeadHead OG","0"
"A-K","Death Star","0"
"A-K","Diesel","0.0625"
"A-K","Diesel Ryder","0.0625"
"A-K","Double Dawg","0.125"
"A-K","Dutch Hawaiian","0"
"A-K","Dynamite","0"
"A-K","Fire OG","0"
"A-K","Flo","0.25"
"A-K","Floral Line","0.25"
"A-K","Fruity Pebbles","0.046875"
"A-K","G-13 Haze","0"
"A-K","G-13 Haze NYC Diesel","0.0625"
"A-K","Ghost Train Haze #1","0"
"A-K","Girl Scout Cookies","0"
"A-K","Glass Slipper","0"
"A-K","God's Gift","0"
"A-K","Golden Goat","0"
"A-K","Gorilla Glue #4","0"
"A-K","Grape God","0"
"A-K","Grape Stomper","0"
"A-K","Great White Shark","0"
"A-K","Green Crack","0"
"A-K","Green Ribbon","0.0625"
"A-K","HTAF","0.25"
"A-K","Hash Plant x Northern Lights","0"
"A-K","Hawaiian Haze","0"
"A-K","Headband","0"
"A-K","Hells Angel OG","0.125"
"A-K","Holy Grail Kush","0"
"A-K","Humboldt Snow","0"
"A-K","J1","0"
"A-K","Jack Flash","0"
"A-K","Jack Herer","0"
"A-K","Jack the Ripper","0"
"A-K","Jedi Kush","0"
"A-K","Jesus OG","0.0625"
"A-K","Jillybean","0"
"A-K","Juicy Fruit","0.25"
"A-K","KC 33","0"
"A-K","Kandy Kush","0"
"A-K","Kimbo Kush","0.078125"
"A-K","Kish","0"
"A-K","Kong","0"
"A-K","Kushberry","0"
"A-K","LA Confidential","0.25"
"A-K","LSD","0"
"A-K","Larry OG","0"
"A-K","Las Vegas Purple Kush","0.25"
"A-K","Lee Roy","0"
"A-K","Lemon Alien Dawg","0"
"A-K","Lemon Diesel","0"
"A-K","Lemon Haze","0"
"A-K","Lemon Kush","0"
"A-K","Lemon Thai","0"
"A-K","Liberty Haze","0"
"A-K","Lost Coast OG","0"
"A-K","Lowryder #2","0"
"A-K","Mango","0"
"A-K","Mango Kush","0.25"
"A-K","Mass","0"
"A-K","Master Kush","0.25"
"A-K","Mk-Ultra","0"
"A-K","Mob Boss","0"
"A-K","Moby Dick","0"
"A-K","Moonshine Haze","0"
"A-K","Motavation","0"
"A-K","Mr. Nice","0"
"A-K","NYC Diesel","0.125"
"A-K","Nevil's Wreck","0"
"A-K","Northern Lights x Haze","0"
"A-K","Nuken","0"
"A-K","OG Kush","0"
"A-K","Obama Kush","0"
"A-K","Ogre","0.125"
"A-K","Orange Crush","0"
"A-K","Orange Kush","0"
"A-K","Orange Velvet","0"
"A-K","Oriental Express","0"
"A-K","Original Diesel","0"
"A-K","Original Sour Diesel","0"
"A-K","P50","0"
"A-K","P75","0"
"A-K","Permafrost","0"
"A-K","Phantom Cookies","0"
"A-K","Pineapple 99","0"
"A-K","Pineapple Chunk","0"
"A-K","Pineapple Express","0"
"A-K","Pineapple Kush","0.125"
"A-K","Pink Kush","0"
"A-K","Pitbull","0"
"A-K","Platinum Girl Scout Cookies","0"
"A-K","Platinum Kush","0.375"
"A-K","Platinum OG","0.125"
"A-K","Plushberry","0"
"A-K","Purple Afghani","0.25"
"A-K","Purple Diesel","0"
"A-K","Purple Elephant","0"
"A-K","Purple Kush","0.375"
"A-K","Purple Thai","0"
"A-K","Purple Trainwreck","0"
"A-K","Qrazy Train","0"
"A-K","Querkle","0"
"A-K","Rare Darkness","0"
"A-K","ReCon","0.1875"
"A-K","Red Diesel","0.0625"
"A-K","Red Dragon","0"
"A-K","Romulan","0"
"A-K","Royal Kush","0"
"A-K","S.A.G.E.","0"
"A-K","Sage n Sour","0"
"A-K","Short Term Amnesia","0"
"A-K","Silver Haze","0"
"A-K","Skywalker","0"
"A-K","Skywalker OG","0"
"A-K","Snow White","0"
"A-K","Snowcap","0"
"A-K","Sour Alien","0.0625"
"A-K","Sour Diesel","0"
"A-K","Sour Kush","0"
"A-K","Sour Maui","0"
"A-K","Sour OG","0"
"A-K","Sour Tsunami","0.03125"
"A-K","Sour Willie","0"
"A-K","Space Queen","0"
"A-K","Stardawg","0.03125"
"A-K","Starfighter","0.03125"
"A-K","Strawberry Cough","0"
"A-K","Strawberry Diesel","0.0625"
"A-K","Strawberry Kush","0"
"A-K","Sugar Plum","0"
"A-K","Super Lemon Haze","0"
"A-K","Super Skunk","0"
"A-K","Sweet Pink Grapefruit","0"
"A-K","Sweet Skunk","0"
"A-K","Sweet Tooth","0"
"A-K","Tahoe Alien","0.0625"
"A-K","Tahoe OG","0"
"A-K","Tangerine Dream","0"
"A-K","Tangerine Kush","0"
"A-K","Tangie","0"
"A-K","The Black","0"
"A-K","The Flav","0"
"A-K","Thin Mint Girl Scout Cookies","0"
"A-K","Tres Dawg","0.0625"
"A-K","UK Cheese","0"
"A-K","Ultra Sonja","0"
"A-K","Vanilla Kush","0"
"A-K","Vortex","0"
"A-K","Warlock","0"
"A-K","West Coast Dawg","0"
"A-K","White Fire","0"
"A-K","White Moonshine","0"
"A-K","White Purple Urkel","0"
"A-K","White Rhino","0"
"A-K","White Russian","0"
"A-K","White Widow","0"
"A-K","William's Wonder","0"
"A-K","Willie Nelson","0"
"A-K","XJ-13","0"
"A-K","green queen","0"
"A-K","purple arrow","0.375"
"A-K","wally og","0"
"A-K","white nightmare","0"
"Ace of Spades","#1","0"
"Ace of Spades","A-K","0"
"Ace of Spades","Ace of Spades","1"
"Ace of Spades","Acid","0"
"Ace of Spades","Afghan\/Skunk","0"
"Ace of Spades","Afghani Hawaiian","0"
"Ace of Spades","Afgoo","0"
"Ace of Spades","Agent Orange","0"
"Ace of Spades","Alaskan Ice","0"
"Ace of Spades","Alien Dawg","0"
"Ace of Spades","Alien Kush","0"
"Ace of Spades","Alien OG","0"
"Ace of Spades","Animal Cookies","0"
"Ace of Spades","Apollo 13","0"
"Ace of Spades","Banana Kush","0"
"Ace of Spades","Berkeley","0"
"Ace of Spades","Berkeley Blues","0"
"Ace of Spades","Berry White","0"
"Ace of Spades","Bio Diesel Mass","0"
"Ace of Spades","Bio-Diesel","0"
"Ace of Spades","Blackberry","0"
"Ace of Spades","Blackberry Kush","0"
"Ace of Spades","Blood Wreck","0"
"Ace of Spades","Blowfish","0"
"Ace of Spades","Blue Cheese","0"
"Ace of Spades","Blue City Diesel","0"
"Ace of Spades","Blue Diesel","0"
"Ace of Spades","Blue Dream","0"
"Ace of Spades","Blue Magoo","0"
"Ace of Spades","Blue Widow","0"
"Ace of Spades","Blueberry Kush","0"
"Ace of Spades","Blueberry Line","0"
"Ace of Spades","Blueberry OG","0"
"Ace of Spades","Bruce Banner","0"
"Ace of Spades","Bubba Kush","0"
"Ace of Spades","Bubba OG","0"
"Ace of Spades","California Sour","0"
"Ace of Spades","Candy Kush","0"
"Ace of Spades","Candyland","0"
"Ace of Spades","Cannadential","0"
"Ace of Spades","Cannalope Haze","0"
"Ace of Spades","Cannatonic","0"
"Ace of Spades","Casey Jones","0"
"Ace of Spades","Cataract Kush","0"
"Ace of Spades","Charles Kush","0"
"Ace of Spades","Cheese Quake","0"
"Ace of Spades","Chem Valley Kush","0"
"Ace of Spades","Chemdog Sour Diesel","0"
"Ace of Spades","Chemmy Jones","0"
"Ace of Spades","Chernobyl","0"
"Ace of Spades","Cherry Pie","0"
"Ace of Spades","Chocolope","0"
"Ace of Spades","Cinderella 88","0"
"Ace of Spades","Cinderella 99","0"
"Ace of Spades","Cinex","0"
"Ace of Spades","Colombian Gold","0"
"Ace of Spades","Cookies and Cream","0"
"Ace of Spades","Corleone Kush","0"
"Ace of Spades","Cotton Candy","0"
"Ace of Spades","Critical Kush","0"
"Ace of Spades","Critical Mass","0"
"Ace of Spades","DNL","0"
"Ace of Spades","Dairy Queen","0"
"Ace of Spades","DeadHead OG","0"
"Ace of Spades","Death Star","0"
"Ace of Spades","Diesel","0"
"Ace of Spades","Diesel Ryder","0"
"Ace of Spades","Double Dawg","0"
"Ace of Spades","Dutch Hawaiian","0"
"Ace of Spades","Dynamite","0"
"Ace of Spades","Fire OG","0"
"Ace of Spades","Flo","0"
"Ace of Spades","Floral Line","0"
"Ace of Spades","Fruity Pebbles","0"
"Ace of Spades","G-13 Haze","0"
"Ace of Spades","G-13 Haze NYC Diesel","0"
"Ace of Spades","Ghost Train Haze #1","0"
"Ace of Spades","Girl Scout Cookies","0"
"Ace of Spades","Glass Slipper","0"
"Ace of Spades","God's Gift","0"
"Ace of Spades","Golden Goat","0"
"Ace of Spades","Gorilla Glue #4","0"
"Ace of Spades","Grape God","0"
"Ace of Spades","Grape Stomper","0"
"Ace of Spades","Great White Shark","0"
"Ace of Spades","Green Crack","0"
"Ace of Spades","Green Ribbon","0"
"Ace of Spades","HTAF","0"
"Ace of Spades","Hash Plant x Northern Lights","0"
"Ace of Spades","Hawaiian Haze","0"
"Ace of Spades","Headband","0"
"Ace of Spades","Hells Angel OG","0"
"Ace of Spades","Holy Grail Kush","0"
"Ace of Spades","Humboldt Snow","0"
"Ace of Spades","J1","0"
"Ace of Spades","Jack Flash","0"
"Ace of Spades","Jack Herer","0"
"Ace of Spades","Jack the Ripper","0"
"Ace of Spades","Jedi Kush","0"
"Ace of Spades","Jesus OG","0"
"Ace of Spades","Jillybean","0"
"Ace of Spades","Juicy Fruit","0"
"Ace of Spades","KC 33","0"
"Ace of Spades","Kandy Kush","0"
"Ace of Spades","Kimbo Kush","0"
"Ace of Spades","Kish","0"
"Ace of Spades","Kong","0"
"Ace of Spades","Kushberry","0"
"Ace of Spades","LA Confidential","0"
"Ace of Spades","LSD","0"
"Ace of Spades","Larry OG","0"
"Ace of Spades","Las Vegas Purple Kush","0"
"Ace of Spades","Lee Roy","0"
"Ace of Spades","Lemon Alien Dawg","0"
"Ace of Spades","Lemon Diesel","0"
"Ace of Spades","Lemon Haze","0"
"Ace of Spades","Lemon Kush","0"
"Ace of Spades","Lemon Thai","0"
"Ace of Spades","Liberty Haze","0"
"Ace of Spades","Lost Coast OG","0"
"Ace of Spades","Lowryder #2","0"
"Ace of Spades","Mango","0"
"Ace of Spades","Mango Kush","0"
"Ace of Spades","Mass","0"
"Ace of Spades","Master Kush","0"
"Ace of Spades","Mk-Ultra","0"
"Ace of Spades","Mob Boss","0"
"Ace of Spades","Moby Dick","0"
"Ace of Spades","Moonshine Haze","0"
"Ace of Spades","Motavation","0"
"Ace of Spades","Mr. Nice","0"
"Ace of Spades","NYC Diesel","0"
"Ace of Spades","Nevil's Wreck","0"
"Ace of Spades","Northern Lights x Haze","0"
"Ace of Spades","Nuken","0"
"Ace of Spades","OG Kush","0"
"Ace of Spades","Obama Kush","0"
"Ace of Spades","Ogre","0"
"Ace of Spades","Orange Crush","0"
"Ace of Spades","Orange Kush","0"
"Ace of Spades","Orange Velvet","0"
"Ace of Spades","Oriental Express","0"
"Ace of Spades","Original Diesel","0"
"Ace of Spades","Original Sour Diesel","0"
"Ace of Spades","P50","0"
"Ace of Spades","P75","0"
"Ace of Spades","Permafrost","0"
"Ace of Spades","Phantom Cookies","0"
"Ace of Spades","Pineapple 99","0"
"Ace of Spades","Pineapple Chunk","0"
"Ace of Spades","Pineapple Express","0"
"Ace of Spades","Pineapple Kush","0"
"Ace of Spades","Pink Kush","0"
"Ace of Spades","Pitbull","0"
"Ace of Spades","Platinum Girl Scout Cookies","0"
"Ace of Spades","Platinum Kush","0"
"Ace of Spades","Platinum OG","0"
"Ace of Spades","Plushberry","0.25"
"Ace of Spades","Purple Afghani","0"
"Ace of Spades","Purple Diesel","0"
"Ace of Spades","Purple Elephant","0"
"Ace of Spades","Purple Kush","0"
"Ace of Spades","Purple Thai","0"
"Ace of Spades","Purple Trainwreck","0"
"Ace of Spades","Qrazy Train","0"
"Ace of Spades","Querkle","0"
"Ace of Spades","Rare Darkness","0"
"Ace of Spades","ReCon","0"
"Ace of Spades","Red Diesel","0"
"Ace of Spades","Red Dragon","0"
"Ace of Spades","Romulan","0"
"Ace of Spades","Royal Kush","0"
"Ace of Spades","S.A.G.E.","0"
"Ace of Spades","Sage n Sour","0"
"Ace of Spades","Short Term Amnesia","0"
"Ace of Spades","Silver Haze","0"
"Ace of Spades","Skywalker","0"
"Ace of Spades","Skywalker OG","0"
"Ace of Spades","Snow White","0"
"Ace of Spades","Snowcap","0"
"Ace of Spades","Sour Alien","0"
"Ace of Spades","Sour Diesel","0"
"Ace of Spades","Sour Kush","0"
"Ace of Spades","Sour Maui","0"
"Ace of Spades","Sour OG","0"
"Ace of Spades","Sour Tsunami","0"
"Ace of Spades","Sour Willie","0"
"Ace of Spades","Space Queen","0"
"Ace of Spades","Stardawg","0"
"Ace of Spades","Starfighter","0"
"Ace of Spades","Strawberry Cough","0"
"Ace of Spades","Strawberry Diesel","0"
"Ace of Spades","Strawberry Kush","0"
"Ace of Spades","Sugar Plum","0"
"Ace of Spades","Super Lemon Haze","0"
"Ace of Spades","Super Skunk","0"
"Ace of Spades","Sweet Pink Grapefruit","0"
"Ace of Spades","Sweet Skunk","0"
"Ace of Spades","Sweet Tooth","0"
"Ace of Spades","Tahoe Alien","0"
"Ace of Spades","Tahoe OG","0"
"Ace of Spades","Tangerine Dream","0"
"Ace of Spades","Tangerine Kush","0"
"Ace of Spades","Tangie","0"
"Ace of Spades","The Black","0"
"Ace of Spades","The Flav","0"
"Ace of Spades","Thin Mint Girl Scout Cookies","0"
"Ace of Spades","Tres Dawg","0"
"Ace of Spades","UK Cheese","0"
"Ace of Spades","Ultra Sonja","0"
"Ace of Spades","Vanilla Kush","0"
"Ace of Spades","Vortex","0"
"Ace of Spades","Warlock","0"
"Ace of Spades","West Coast Dawg","0"
"Ace of Spades","White Fire","0"
"Ace of Spades","White Moonshine","0"
"Ace of Spades","White Purple Urkel","0"
"Ace of Spades","White Rhino","0"
"Ace of Spades","White Russian","0"
"Ace of Spades","White Widow","0"
"Ace of Spades","William's Wonder","0"
"Ace of Spades","Willie Nelson","0"
"Ace of Spades","XJ-13","0"
"Ace of Spades","green queen","0"
"Ace of Spades","purple arrow","0"
"Ace of Spades","wally og","0"
"Ace of Spades","white nightmare","0"
"Acid","#1","0"
"Acid","A-K","0.03125"
"Acid","Ace of Spades","0"
"Acid","Acid","1"
"Acid","Afghan\/Skunk","0.03125"
"Acid","Afghani Hawaiian","0.125"
"Acid","Afgoo","0.03125"
"Acid","Agent Orange","0"
"Acid","Alaskan Ice","0"
"Acid","Alien Dawg","0.046875"
"Acid","Alien Kush","0.03515625"
"Acid","Alien OG","0.029296875"
"Acid","Animal Cookies","0.0234375"
"Acid","Apollo 13","0"
"Acid","Banana Kush","0"
"Acid","Berkeley","0"
"Acid","Berkeley Blues","0"
"Acid","Berry White","0"
"Acid","Bio Diesel Mass","0.095703125"
"Acid","Bio-Diesel","0.248046875"
"Acid","Blackberry","0.03125"
"Acid","Blackberry Kush","0.033203125"
"Acid","Blood Wreck","0"
"Acid","Blowfish","0"
"Acid","Blue Cheese","0"
"Acid","Blue City Diesel","0.19140625"
"Acid","Blue Diesel","0.0478515625"
"Acid","Blue Dream","0"
"Acid","Blue Magoo","0"
"Acid","Blue Widow","0"
"Acid","Blueberry Kush","0"
"Acid","Blueberry Line","0.015625"
"Acid","Blueberry OG","0.0234375"
"Acid","Bruce Banner","0.119140625"
"Acid","Bubba Kush","0.03515625"
"Acid","Bubba OG","0.017578125"
"Acid","California Sour","0"
"Acid","Candy Kush","0.0234375"
"Acid","Candyland","0.01171875"
"Acid","Cannadential","0.015625"
"Acid","Cannalope Haze","0"
"Acid","Cannatonic","0"
"Acid","Casey Jones","0"
"Acid","Cataract Kush","0.0390625"
"Acid","Charles Kush","0.052734375"
"Acid","Cheese Quake","0"
"Acid","Chem Valley Kush","0.046875"
"Acid","Chemdog Sour Diesel","0.24609375"
"Acid","Chemmy Jones","0.046875"
"Acid","Chernobyl","0"
"Acid","Cherry Pie","0"
"Acid","Chocolope","0"
"Acid","Cinderella 88","0"
"Acid","Cinderella 99","0"
"Acid","Cinex","0"
"Acid","Colombian Gold","0"
"Acid","Cookies and Cream","0.01904296875"
"Acid","Corleone Kush","0.017578125"
"Acid","Cotton Candy","0"
"Acid","Critical Kush","0.0234375"
"Acid","Critical Mass","0"
"Acid","DNL","0.2109375"
"Acid","Dairy Queen","0"
"Acid","DeadHead OG","0"
"Acid","Death Star","0.19921875"
"Acid","Diesel","0.6328125"
"Acid","Diesel Ryder","0.19140625"
"Acid","Double Dawg","0.0859375"
"Acid","Dutch Hawaiian","0"
"Acid","Dynamite","0"
"Acid","Fire OG","0.0234375"
"Acid","Flo","0.03125"
"Acid","Floral Line","0.03125"
"Acid","Fruity Pebbles","0.0166015625"
"Acid","G-13 Haze","0"
"Acid","G-13 Haze NYC Diesel","0.19140625"
"Acid","Ghost Train Haze #1","0"
"Acid","Girl Scout Cookies","0.0234375"
"Acid","Glass Slipper","0"
"Acid","God's Gift","0.0234375"
"Acid","Golden Goat","0"
"Acid","Gorilla Glue #4","0.046875"
"Acid","Grape God","0"
"Acid","Grape Stomper","0.123046875"
"Acid","Great White Shark","0"
"Acid","Green Crack","0"
"Acid","Green Ribbon","0.0078125"
"Acid","HTAF","0.03125"
"Acid","Hash Plant x Northern Lights","0.0703125"
"Acid","Hawaiian Haze","0"
"Acid","Headband","0.22265625"
"Acid","Hells Angel OG","0.0390625"
"Acid","Holy Grail Kush","0.0234375"
"Acid","Humboldt Snow","0"
"Acid","J1","0"
"Acid","Jack Flash","0"
"Acid","Jack Herer","0"
"Acid","Jack the Ripper","0"
"Acid","Jedi Kush","0.099609375"
"Acid","Jesus OG","0.01953125"
"Acid","Jillybean","0"
"Acid","Juicy Fruit","0.03125"
"Acid","KC 33","0"
"Acid","Kandy Kush","0.0234375"
"Acid","Kimbo Kush","0.02978515625"
"Acid","Kish","0"
"Acid","Kong","0"
"Acid","Kushberry","0.0234375"
"Acid","LA Confidential","0.03125"
"Acid","LSD","0"
"Acid","Larry OG","0.0234375"
"Acid","Las Vegas Purple Kush","0.0703125"
"Acid","Lee Roy","0"
"Acid","Lemon Alien Dawg","0.0234375"
"Acid","Lemon Diesel","0.0234375"
"Acid","Lemon Haze","0"
"Acid","Lemon Kush","0"
"Acid","Lemon Thai","0"
"Acid","Liberty Haze","0.046875"
"Acid","Lost Coast OG","0.046875"
"Acid","Lowryder #2","0"
"Acid","Mango","0"
"Acid","Mango Kush","0"
"Acid","Mass","0"
"Acid","Master Kush","0"
"Acid","Mk-Ultra","0.0234375"
"Acid","Mob Boss","0.046875"
"Acid","Moby Dick","0"
"Acid","Moonshine Haze","0"
"Acid","Motavation","0"
"Acid","Mr. Nice","0"
"Acid","NYC Diesel","0.3828125"
"Acid","Nevil's Wreck","0"
"Acid","Northern Lights x Haze","0.0703125"
"Acid","Nuken","0"
"Acid","OG Kush","0.046875"
"Acid","Obama Kush","0.0234375"
"Acid","Ogre","0"
"Acid","Orange Crush","0"
"Acid","Orange Kush","0.0234375"
"Acid","Orange Velvet","0"
"Acid","Oriental Express","0"
"Acid","Original Diesel","0.2109375"
"Acid","Original Sour Diesel","0.298828125"
"Acid","P50","0"
"Acid","P75","0"
"Acid","Permafrost","0"
"Acid","Phantom Cookies","0"
"Acid","Pineapple 99","0"
"Acid","Pineapple Chunk","0"
"Acid","Pineapple Express","0.03125"
