strain,parent_info,parent_aaa_name,parent_bbb_name,parent_ccc_name,parent_ddd_name
The Flav,aaa x bbb,Romulan,Space Queen,,
The White,aaa,Unknown Hybrid (The White Parent),,,
Trinity,aaa,"USA, California (Trinity Parent)",,,
Ultra Sonja,aaa x bbb,UK Cheese,Tang Tang,,
Vanilla Kush,aaa x bbb,Pakistani Hash Plant,Kush,,
Violator Kush,aaa,Charles Kush,,,
Vortex,aaa x bbb,Apollo 13,Space Queen,,
wally og,aaa x bbb,Ghost OG,Phantom OG,,
White Fire,aaa x bbb,Fire Kush,The White,,
white nightmare,aaa x bbb,Blue Dream,White Moonshine,,
White Purple Urkel,aaa x bbb,Purple Urkel,The White,,
Kish,aaa x bbb,Shishkeberry,Shishkeberry,,
A-K,aaa x bbb,Afghani,Hindu Kush,,
Afghan,aaa,Afghanistan (Afghan Parent),,,
Afghani Hawaiian,aaa x bbb,Afghani,Hawaii,,
Alien Kush,aaa x bbb,Las Vegas Purple Kush,Alien Technology,,
Alien Technology,aaa,Afghanistan (Alien Technology Parent),,,
Apollo 13,aaa x bbb,Genius,P75,,
Aroma,aaa x {bbb \/ ccc \/ ddd \/ ...},Ed Rosenthal Super Bud,Power Plant,Jack Herer,CH9
Big Skunk Korean,aaa,Unknown Hybrid (Big Skunk Korean),,,
Bio Diesel Mass,aaa x bbb,Diesel Ryder, Mass,,
Blood Wreck,aaa x bbb,Trainwreck,Trinity,,
Blueberry Line,aaa x bbb,Temple Flo,HTAF,,
California Orange,aaa,"USA, California\/Humboldt (California Orange Parent)",,,
Cannadential,aaa x bbb,Cannalope Haze,LA Confidential,,
California Sour,aaa x bbb,Mexico (California Sour Parent),Afghanistan (California Sour Parent),,
Cannalope Haze,aaa x bbb,Haze Brothers,Mexico (Cannalope Haze Parent),,
Charles Kush,aaa x {aaa x bbb},Hash Plant x Northern Lights,Kodiak Gold,,
Chemdog Sour Diesel,aaa x bbb,Chem Dawg,Sour Diesel,,
Cinderella 88,aaa x bbb,Princess,P75,,
Colombian Gold,aaa x bbb,Colombia (Colombian Gold Parent),Colombia (Colombian Gold Parent),,
Diesel,aaa x bbb,Sour Diesel,NYC Diesel,,
DNL,{aaa x bbb} x ccc,RFK Skunk,Hawaiian (Parent DNL),Northern Lights,
Ed Rosenthal Super Bud,aaa,Eds PEHT,,,
Fire Kush,aaa,OG Kush,,,
Floral Line,aaa x bbb,Purple Thai,Afghani,,
G-13 Haze,aaa x bbb,G-13,Haze,,
G-13 Haze NYC Diesel ,aaa x bbb,G-13 Haze,NYC Diesel,,
God,aaa,"Unknown Strain, Canada (God Parent)",,,
Green Ribbon,aaa x {bbb x ccc},Green Crack,Trainwreck,Afgoo,
Haze,aaa x bbb x ccc x ddd,Mexico (Haze Parent),Colombia (Haze Parent),Thailand (Haze Parent),India (Haze Parent)
Hells Angel OG,aaa x bbb,OG Kush,Blackberry,,
Humboldt Snow,aaa x bbb,Humboldt,Snow White,,
Jacks Cleaner,{aaa x bbb x ccc x ddd} x eee,Pluton,Lamb's Bread,Purple Haze,Northern Lights
Pakistani Hash Plant,aaa,Pakistan (Pakistani Hash Plant Parent),,,
KC 33,aaa x bbb,Thailand (KC 33 Parent),Brazil (KC 33 Parent),,
King,aaa,OG Kush,,,
Kush,aaa,Hindu Kush,,,
Lemon G,aaa,Colombia (Lemon G Parent),,,
Lemon Thai,aaa x bbb,Thailand Sativa (Lemon Thai Parent),Hawaii (Lemon Thai Parent),,
Lost Coast OG,{aaa x bbb} x ccc,Pakistan (Lost Coast OG Parent),Thailand (Lost Coast OG Parent),Chem Dawg,
Hawaiian Haze,aaa x bbb,Haze,Hawaii (Hawaiian Haze Parent),,
Mazar,aaa,Afghan\/Skunk,,,
Mendo Purps,aaa,USA (Mendo Purps Parents),,,
Mk-Ultra,aaa x bbb,G-13,OG Kush,,
Motavation,aaa x bbb,Sensi Star,Warlock,,
Nevil's Wreck,aaa x bbb,Arcata Trainwreck,Neville's Haze,,
Neville's Haze,{(aaa x aaa) x bbb} x {aaa x aaa},Haze,Northern Lights #5,,
Northern Lights x Haze,aaa x bbb,Northern Lights,Unknown Haze (Northern Lights x Haze),,
O.G. Chocolate Thai,aaa,Thailand (O.G. Chocolate Thai Parent),,,
O.G. LA Affie,aaa,Afghanistan (O.G. LA Affie Parent),,,
Orange Bud,aaa,Unknown Skunk (Orange Bud Parent),,,
Orange Velvet,aaa x bbb,Skunk #1,Unknown Strain (Orange Velvet Parent),,
Oriental Express,aaa x bbb,Trainwreck,Thailand (Oriental Express),,
Original Diesel,aaa x {bbb x ccc},Chem Dawg,MassSuperSkunk,Northern Lights,
Original Sour Diesel,aaa x bbb,Sour Diesel,Sour OG,,
UK Cheese,aaa x bbb,Cheese,Skunk #1,,
P91,aaa x {aaa x (aaa x bbb)},Thailand (P91 Parent),Afghanistan (P91 Parent),,
Pineapple 99,aaa x bbb,Pineapple,Cinderella 99,,
Pounder,aaa x bbb x ccc,Big Bud,Power Plant, #1,
Power Plant,aaa,Africa (Power Plant Parent),,,
Princess,aaa,Jack Herer,,,
Purple Afghani,aaa x bbb,Purple Kush,Afghani,,
Purple Elephant,aaa x bbb,Purple Urkel,Unknown Strain (Purple Elephant Parent),,
Purple Kush,aaa x bbb,Hindu Kush,Purple Afghani,,
Rainbow Kashmiri,aaa,Unknown Strain (Rainbow Kashmiri Parent),,,
Rare Dankness #1,aaa x {bbb x (bbb x ccc)},Triangle Kush,Ghost OG,Chem Dawg,
Rare Darkness,aaa x bbb,Grape Ape,Rare Dankness #1,,
S.A.G.E.,aaa x bbb,Unknown Haze (S.A.G.E. Parent),Afghanistan (S.A.G.E. Parent),,
SFV OG,aaa,OG Kush,,,
Shishkeberry,aaa,Afghanistan (Shishkeberry Parent),,,
Shiva Skunk,aaa,Northern Lights,Skunk #1,,
Short Term Amnesia,aaa x bbb,Amnesia Haze,Lowryder,,
Skywalker,aaa x bbb,Mazar,Blueberry,,
Sour Dubb,aaa,Unknown Mostly Sativa (Sour Dubb Parent),,,
Starfighter,aaa x bbb,Lemon Alien Dawg,Tahoe Alien,,
Strawberry Diesel,aaa x bbb,NYC Diesel,Strawberry Cough,,
Strawberry Fields,aaa,"USA, Vermont (Strawberry Fields Parent)",,,
Sugar Plum,aaa x bbb,Berkeley Blues,Hawaiian Haze,,
Sweet Pink Grapefruit,aaa x bbb,Grapefruit,Unknown Strain (Sweet Pink Grapefruit Parent),,
Tang Tang,aaa,Blue Szonja,,,
The Black,aaa x {bbb x ccc},Afghanistan (The Black Parent),Nepal (The Black Parent),Hawaii (The Black Parent),
The White,aaa,Unknown Hybrid (The Black Parent),,,
Tres Dawg,aaa x bbb,Chem Dawg,Double Dawg,,
Triangle Kush,aaa,OG Kush,,,
Utopia Haze,aaa,Brazil (Utopia Haze Parent),,,
West Coast Dawg,aaa x bbb,Chem Dawg,"USA, Humboldt (West Coast Dawg Parents)",,
White Moonshine,aaa x bbb,The White,Blue Moonshine,,
William's Wonder,aaa x aaa,Unknown Indica (William's Wonder Parent),,,
Willie Nelson,aaa x bbb,Vietnamese Black,Highland Nepalese,,
#1,aaa x bbb,Unknown Hybrid (#1 Parent),Unknown Ruderalis (#1 Parent),,
Mass,aaa x bbb,Critical Mass,Lowryder,,
Afghan\/Skunk,aaa x bbb,Afghani,Skunk #1,,
Berkeley Blues,aaa x bbb,Berkeley,Blueberry,,
Blue Moonshine,aaa,Blueberry,,,
CH9,aaa,Unknown Strain (CH9 Parent),,,
Diesel Ryder,bbb x aaa,Lowryder #2,NYC Diesel,,
Double Dawg,aaa x {aaa x bbb},Chem Dawg,Afghani,,
Arcata Trainwreck,aaa,Trainwreck,,,
Genius,aaa,Jack Herer,,,
Hash Plant x Northern Lights,aaa x bbb,Hash Plant,Northern Lights,,
HTAF,aaa x bbb,Thailand (HTAF Parent),Afghani,,
Haze Brothers,aaa,Original Haze,,,
Highland Nepalese,aaa,Nepal,,,
Humboldt,aaa,"USA, California (Humboldt Parent)",,,
Kodiak Gold,aaa,Mostly Indica (Kodiak Gold Parent),,,
Las Vegas Purple Kush,aaa x bbb,Northern Lights,Hindu Kush,,
Lemon Alien Dawg,aaa x bbb,Alien Dawg,Lemon Kush,,
Lowryder,aaa x bbb x ccc,Williams Wonder,Northern Lights #2,Mexico (Lowryder Parent),
MassSuperSkunk,aaa,Super Skunk,,,
P75,aaa x bbb,Princess,P50,,
Pluton,aaa,Afghanistan (Pluton Parent),,,
Purple Thai,aaa x bbb,The Hog,O.G. Chocolate Thai,,
RFK Skunk,aaa,Unknown Skunk (RFK Skunk Parent),,,
Snow White,{aaa x bbb} x ccc,Northern Special,White Widow,Cinderella 99,
Tahoe Alien,aaa x bbb,Tahoe OG,Alien Kush,,
Temple Flo,aaa,Floral Line,,,
Vietnamese Black,aaa,Vietnam (Vietnamese Black Parent),,,
Warlock,{aaa x aaa} x bbb,Skunk #1,Afghanistan (Warlock Parent),,
Berkeley,aaa x aaa,South African Land Race (Berkeley Parent),,,
The Hog,aaa,Hawgsbreath,,,
Lowryder #2,aaa x bbb,Santa Maria,Lowryder #2,,
Northern Lights #1,aaa,Afghanistan (Northern Lights #1 Parent),,,
Northern Lights #5,aaa,"USA, California (Northern Lights #5 Parent)",,,
Northern Lights #2,aaa,Northern Lights,,,
Original Haze,aaa,Nepal (Original Haze Parent),,,
P50,aaa x {bbb x ccc},Princess,Shiva Skunk,Jack Herer,
Hawgsbreath,aaa,"USA, San Diego (Hawgsbreath Parent)",,,
Santa Maria,aaa,Brazil (Santa Maria Parent),,,
